## to be used for replicating the Pb isotope clustering only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,208Pb_207Pb_mean,208Pb_207Pb_2SE,206Pb_207Pb_mean,206Pb_207Pb_2SE
GM00_example,2.46133,0.000556953,1.19783,0.00027951
GM00_example,2.44926,0.00106896,1.19639,0.00144893
GM00_example,2.46157,0.000250052,1.19549,0.000140214
GM00_example,2.45969,0.000604432,1.19807,0.000297268
GM00_example,2.48284,0.0033522,1.20561,0.00253062
GM00_example,2.4624,0.000251525,1.18928,0.000159272
GM00_example,2.4591,0.000271593,1.19589,0.000221346
GM00_example,2.45529,0.000340209,1.19298,0.000270984
GM00_example,2.4599,0.000209944,1.20159,0.000110001
GM00_example,2.45669,0.000260119,1.18784,0.000164621
GM00_example,2.46894,0.00223256,1.20281,0.00248871
GM00_example,2.46392,0.00136696,1.20083,0.000681167
GM00_example,2.50594,0.00545348,1.25768,0.00302155
GM00_example,2.47427,0.00155333,1.20147,0.000861098
GM00_example,2.45934,0.000638289,1.19035,0.000363563
GM00_example,2.46,0.00141308,1.1977,0.000717899
GM00_example,2.46494,0.000809936,1.20344,0.000460343
GM00_example,2.46296,0.000901289,1.1961,0.000583998
GM00_example,2.46447,0.000584117,1.20358,0.000338158
GM00_example,2.46215,0.000834619,1.19823,0.000507165
GM00_example,2.47135,0.00452834,1.20396,0.00296746
GM00_example,2.4794,0.00271308,1.20579,0.00170859
GM00_example,2.46698,0.000769679,1.19975,0.000480947
GM00_example,2.46666,0.000508354,1.20242,0.000305053
GM00_example,2.46301,0.000738248,1.19975,0.000444025
GM00_example,2.46531,0.000852779,1.2024,0.000542498
GM00_example,2.45809,0.00104259,1.1925,0.000563973
GM00_example,2.46982,0.000974584,1.20179,0.000590226
GM00_example,2.46529,0.000672999,1.19837,0.000341213
GM00_example,2.46446,0.00123549,1.19859,0.000774817
GM00_example,2.46703,0.000340238,1.20218,0.000283227
GM00_example,2.46265,0.00173981,1.1988,0.00135422
GM00_example,2.46253,0.00136878,1.1984,0.000754474
GM00_example,2.47965,0.00101846,1.22118,0.000844378
GM00_example,2.47558,0.000926979,1.20669,0.000700292
GM00_example,2.46468,0.000568214,1.2042,0.000443541
GM00_example,2.48406,0.00148979,1.21178,0.000917993
GM00_example,2.47266,0.00323984,1.19891,0.00174456
GM00_example,2.45123,0.00194,1.18747,0.00133123
GM00_example,2.46612,0.000615295,1.1983,0.00040628
GM00_example,2.4646,0.0025765,1.19768,0.00132275
GM00_example,2.45807,0.000487197,1.19508,0.000410517
GM00_example,2.45787,0.00137946,1.19004,0.00089136
GM00_example,2.46489,0.000524773,1.19562,0.000308367
