## to be used for replicating the Rb-Sr processing only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho
GM00_example,10.70465157,0.343082084,0.738268902,0.018215527,0.225509836,-0.752583117
GM00_example,1.843847466,0.030524435,0.721047154,0.014218759,0.409149896,-0.470481417
GM00_example,27.69008786,1.09035087,0.781621276,0.022592715,0.362190999,-0.705371274
GM00_example,14.65988029,0.397352027,0.741627515,0.015302047,0.551921497,-0.646313633
GM00_example,5.753457349,0.120279611,0.729001168,0.015643605,0.157957685,-0.754799569
GM00_example,14.8208929,0.484811636,0.721137526,0.019067511,0.440410471,-0.543125739
GM00_example,15.16711664,0.437956868,0.743577234,0.015892401,0.378846947,-0.690349841
GM00_example,8.538564382,0.27699443,0.720400892,0.02295834,0.214987609,-0.681228102
GM00_example,3.1460437,0.0746205,0.719727843,0.015099368,0.370261899,-0.596520046
GM00_example,10.64739518,0.300549711,0.738545305,0.016317785,0.370378404,-0.630780358
GM00_example,12.77441946,0.39533441,0.726940775,0.025041249,0.462167213,-0.380616315
GM00_example,2.407848944,0.048446352,0.714310799,0.013282835,0.480036764,-0.598744578
GM00_example,1.166140268,0.022105386,0.703264578,0.014941807,0.261028226,-0.553627702
GM00_example,19.5797156,0.443255017,0.745789814,0.024213396,0.598358892,-0.219071796
GM00_example,3.632280604,0.081087674,0.704911966,0.015432208,0.215430111,-0.647122155
GM00_example,0.646324469,0.016941859,0.700350156,0.011752351,0.142735933,-0.805758058
GM00_example,0.887957278,0.018652981,0.719755569,0.015936331,0.425441835,-0.568640774
GM00_example,9.432259615,0.201059118,0.731003026,0.01796498,0.409820715,-0.61630747
GM00_example,13.51059909,0.278648302,0.734157843,0.016255011,0.33771064,-0.554402622
GM00_example,15.17096611,0.348096553,0.737858754,0.020500218,0.419110156,-0.47170301
GM00_example,2.638678805,0.051897086,0.704363671,0.013035254,0.063013271,-0.742812338
GM00_example,7.377759359,0.1228898,0.728434402,0.013889313,0.16529236,-0.589205636
MSG-Kfs_#20048,18.76892027,0.534116114,0.808196781,0.020405889,0.397560556,-0.6740048
MSG-Kfs_#20049,12.23832637,0.304551103,0.768211902,0.015742482,0.584013761,-0.578182891
MSG-Kfs_#20050,5.975495938,0.148042152,0.740171491,0.017320263,0.17488866,-0.714037739
MSG-Kfs_#20051,32.20607242,1.289743766,0.870325646,0.021587578,0.434884253,-0.81064249
MSG-Kfs_#20052,12.71304429,0.409635649,0.76847615,0.011102573,0.103400782,-0.901762957
MSG-Kfs_#20053,5.605410499,0.112199453,0.745628076,0.015402378,0.1786217,-0.653430979
MSG-Kfs_#20054,13.74820827,0.430594991,0.789633891,0.024564107,0.422994413,-0.551069167
MSG-Kfs_#20055,15.4986986,0.292536361,0.795730172,0.018936719,0.169756396,-0.589155524
MSG-Kfs_#20056,7.130259373,0.175350205,0.750868711,0.014308826,0.343715604,-0.702844816
MSG-Kfs_#20057,7.992021165,0.280555211,0.73204443,0.01554047,0.274862237,-0.774886945
MSG-Kfs_#20058,13.53132227,0.269529108,0.786330666,0.018467945,0.319917266,-0.565487148
MSG-Kfs_#20059,6.377610448,0.179740596,0.74380356,0.016390432,0.192362475,-0.75814108
MSG-Kfs_#20060,5.287773398,0.157041488,0.738187784,0.016800037,0.420148447,-0.699371348
MSG-Kfs_#20061,24.4117114,0.765083981,0.824106494,0.021389861,0.321553073,-0.698672752
MSG-Kfs_#20062,5.62101834,0.133232536,0.738862702,0.016741117,0.464425092,-0.630800611
MSG-Kfs_#20063,12.82030082,0.339728052,0.791633339,0.020976649,0.419605727,-0.524303335
MSG-Kfs_#20064,5.861904341,0.152430343,0.726575091,0.017226167,0.136227198,-0.721364902
MSG-Pl_#20044,0.101356835,0.003929621,0.718321856,0.021899209,0.215761857,-0.590518455
MSG-Pl_#20045,0.027425984,0.001672179,0.719318008,0.023371996,0.247538693,-0.876022858
MSG-Pl_#20046,0.047677756,0.002445586,0.71395037,0.022962592,0.313707352,-0.804300019
MSG-Pl_#20047,0.035051656,0.002106227,0.726852793,0.023974417,0.136870502,-0.870857322
NIST610_01,2.314141905,0.06998796,0.704590804,0.022844026,0.456794655,-0.476681785
NIST610_02,2.313497356,0.068539898,0.706599508,0.022263876,0.309441983,-0.548522415
NIST610_03,2.346317772,0.07306619,0.714088687,0.019740531,0.225385671,-0.685140634
NIST610_04,2.342735323,0.063480867,0.714112896,0.021366103,0.288306308,-0.554935161
NIST610_05,2.338534639,0.054756958,0.706877752,0.017761332,0.272839419,-0.558706008
NIST610_06,2.351252339,0.06687653,0.713044799,0.021352884,0.495622297,-0.47415006
NIST610_07,2.317185068,0.055721672,0.714298524,0.020345419,0.47160612,-0.402768304
NIST610_08,2.318513656,0.051631114,0.703821275,0.015556427,0.557938155,-0.467387965
NIST610_09,2.328358902,0.051648462,0.710250012,0.016063739,0.407278242,-0.553063839
NIST610_10,2.331244095,0.047922226,0.711387827,0.014022848,0.312944434,-0.628093683
NIST610_11,2.32622729,0.037419516,0.71183428,0.01500044,0.356589721,-0.456899954
NIST610_12,2.343028563,0.043983731,0.707122971,0.014994389,0.561749976,-0.413344103
NIST610_13,2.332626432,0.048599877,0.710302662,0.016261442,0.429926055,-0.480454467
NIST610_14,2.304403183,0.051670111,0.703226912,0.018871202,0.365752929,-0.472288123
NIST610_15,2.353826058,0.047546793,0.715791155,0.016177097,0.404704052,-0.493688121
NIST610_16,2.329618275,0.049186206,0.709520053,0.016324751,0.423263242,-0.454939759
NIST610_17,2.314110157,0.045272599,0.706190806,0.016563994,0.372455185,-0.481673431
NIST610_18,2.342053476,0.04372382,0.712549898,0.012868515,0.321798543,-0.585977258
NIST610_19,2.327372727,0.036057028,0.708142557,0.013745863,0.241730095,-0.478213696
NIST610_20,2.321867755,0.035080488,0.708971248,0.013380103,0.381660804,-0.447854991
NIST610_21,2.311352991,0.05148885,0.704518302,0.016152131,0.188273423,-0.637554835
NIST610_22,2.340553844,0.041164633,0.710746017,0.015357707,0.488920949,-0.311396269
NIST610_23,2.345360018,0.048424425,0.712677752,0.012941319,0.240644212,-0.669565894
